"romaji","hiragana","definition","priority","type","japanese"
"Echigo","えちご","Echigo Province, an old province in Japan","4908","Unknown","越後"
"kurushimu","くるしむ","suffer, struggle with, be tormented by","4909","Unknown","苦しむ"
"zainin","ざいにん","having a title or position, tenure","4910","Unknown","在任"
"hanshi","はんし","the vassal of a daimyo in the Edo period","4911","Unknown","藩士"
"tōkatsu","とうかつ","unification","4912","Noun","統括"
"Atoranta","アトランタ","Atlanta","4913","Unknown","アトランタ"
"Asakusa","あさくさ","Asakusa, an area of Tokyo","4914","Unknown","浅草"
"wa","わ","I, me","4915","Pronoun","我"
"Error","","","4916","",""
"kaisen","かいせん","outbreak of war","4917","Noun","開戦"
"kingaku","きんがく","amount of money","4918","Unknown","金額"
"hidachi","ひだち","growth as the days pass","4919","Noun","日立"
"seiyaku","せいやく","restriction, limitation","4920","Unknown","制約"
"Isurāmu","イスラーム","Islam","4921","Proper noun","イスラーム"
"kotoba","ことば","Alternative spelling of 言葉","4922","Noun","詞"
"taishō","たいしょう","(mathematics) symmetric","4923","Adjectival noun","対称"
"nenkin","ねんきん","pension","4924","Noun","年金"
"hatsudō","はつどう","putting a machine into operation","4925","Noun","発動"
"Error","","","4926","",""
"tomu","とむ","be rich","4927","Unknown","富む"
"boin","ぼいん","(phonetics, phonology) vowel","4928","Noun","母音"
"aoki","あおき","Japanese laurel","4929","Noun","青木"
"kusari","くさり","a chain","4930","Noun","鎖"
"Toyota","とよた","A surname​.","4931","Unknown","豊田"
"shea","シェア","sharing, division, allocation","4932","Unknown","シェア"
"fumoto","ふもと","base or foot of a hill or mountain","4933","Noun","麓"
"sansei","さんせい","approval","4934","Unknown","賛成"
"Kondō","こんどう","A surname​.","4935","Unknown","近藤"
"zōkyō","ぞうきょう","strengthening, augmentation","4936","Unknown","増強"
"jigoku","じごく","an unpleasant afterworld where the souls of the wicked are punished","4937","Noun","地獄"
"hōmupēji","ホームページ","home page","4938","Noun","ホームページ"
"monka","もんか","pupil (student)","4939","Unknown","門下"
"tsukusu","つくす","To exhaust; deplete; use up.","4940","Verb","尽くす"
"rizōto","リゾート","vacation resort","4941","Unknown","リゾート"
"risō","りそう","an ideal","4942","Noun","理想"
"hisai","ひさい","suffering from a disaster, affected by a disaster","4943","Unknown","被災"
"Kannon","かんのん","(Buddhism) Guanyin; Kannon","4944","Proper noun","観音"
"Zakusen","ザクセン","Saxony","4945","Unknown","ザクセン"
"taishō","たいしょう","contrast, comparison, antithesis","4946","Noun","対照"
"tansa","たんさ","exploration, usually scientific exploration","4947","Noun","探査"
"Izu","いず","Izu Province, an old province of Japan","4948","Unknown","伊豆"
"Error","","","4949","",""
"tokuhyō","とくひょう","gaining votes","4950","Noun","得票"
"suichū","すいちゅう","in the water, underwater","4951","Noun","水中"
"nensho","ねんしょ","beginning of the year","4952","Noun","年初"
"kōsoku","こうそく","restriction; restraint","4953","Unknown","拘束"
"kassō","かっそう","gliding, sliding","4954","Unknown","滑走"
"shika","しか","dentistry","4955","Noun","歯科"
"Error","","","4956","",""
"rēshingu","レーシング","racing","4957","Unknown","レーシング"
"ikinokoru","いきのこる","survive","4958","Unknown","生き残る"
"tate","たて","a weapon stood up or erected before one's body to block and protect from attacks; a shield","4959","Noun","盾"
"Akira","あきら","A male given name","4960","Proper noun","徹"
"otoru","おとる","be poor at (a thing); be inferior to (a person)","4961","Unknown","劣る"
"megami","めがみ","a goddess (female deity)","4962","Noun","女神"
"tsūgaku","つうがく","commuting to school","4963","Noun","通学"
"nenshō","ねんしょう","combustion","4964","Noun","燃焼"
"chōten","ちょうてん","the highest point of something; top; summit; vertex","4965","Unknown","頂点"
"baiku","バイク","motorcycle","4966","Noun","バイク"
"kyōfu","きょうふ","fear; horror; dread","4967","Noun","恐怖"
"nani mo","なにも","nothing","4968","Unknown","何も"
"tsubakurame","つばくらめ","a swallow","4969","Noun","燕"
"kiso","きそ","prosecution","4970","Unknown","起訴"
"hansha","はんしゃ","reflection, reverberation","4971","Noun","反射"
"saikin","さいきん","bacterium; germ","4972","Noun","細菌"
"shūkai","しゅうかい","assembly, congregation","4973","Unknown","集会"
"nō","ノー","no (that is untrue)","4974","Interjection","ノー"
"Error","","","4975","",""
"gogen","ごげん","etymology (the origin of a word)","4976","Noun","語源"
"chichi","ちち","milk","4977","Noun","乳"
"kontena","コンテナ","container (a very large, typically metal, box used for transporting goods)","4978","Unknown","コンテナ"
"kōshi","こうし","prince (son of an emperor)","4979","Unknown","皇子"
"kaitei","かいてい","revision (of documents)","4980","Unknown","改訂"
"romen","ろめん","a surface of road","4981","Unknown","路面"
"Error","","","4982","",""
"seido","せいど","precision, accuracy","4983","Unknown","精度"
"Error","","","4984","",""
"kawakami","かわかみ","upstream, upriver","4985","Noun","川上"
"Yoshimoto","よしもと","A surname​.","4986","Unknown","吉本"
"sonshitsu","そんしつ","loss","4987","Unknown","損失"
"Kumano","くまの","a place name, such as Kumano City in Mie Prefecture","4988","Proper noun","熊野"
"kōgi","こうぎ","lecture","4989","Unknown","講義"
"nōrin","のうりん","agriculture and forestry","4990","Unknown","農林"
"kasha","かしゃ","a freight train","4991","Noun","貨車"
"Morioka","もりおか","a place name, such as Morioka City in Iwate Prefecture","4992","Unknown","盛岡"
"erebētā","エレベーター","an elevator (US), a lift (UK)","4993","Noun","エレベーター"
"sakura","さくら","cherry blossom, cherry tree","4994","Unknown","さくら"
"reibō","れいぼう","air conditioning, lowering the indoor air temperature","4995","Unknown","冷房"
"tābo","ターボ","turbo","4996","Unknown","ターボ"
"hōdan","ほうだん","cannonball, cannon shell","4997","Unknown","砲弾"
"to","と","an obsolete unit of liquid measure equal to 18 liters or 18000 cc.","4998","Noun","斗"
"kiatsu","きあつ","atmospheric pressure","4999","Unknown","気圧"
"Error","","","5000","",""
"Takasaki","たかさき","a place name, such as that of Takasaki City in Gunma Prefecture","5001","Unknown","高崎"
"sentoraru","セントラル","being central (usually found in compounds)","5002","Unknown","セントラル"
"Error","","","5003","",""
"shōto","ショート","Synonym of 短絡 (tanraku, “short circuit”)","5004","Noun","ショート"
"saimu","さいむ","debt","5005","Unknown","債務"
"Error","","","5006","",""
"merodi","メロディ","melody","5007","Noun","メロディ"
"roiyaru","ロイヤル","being royal","5008","Noun","ロイヤル"
"kyōi","きょうい","threat","5009","Noun","脅威"
"rasuto","ラスト","end, last one","5010","Unknown","ラスト"
"Yoshino","よしの","A surname​.","5011","Unknown","吉野"
"hana","はな","nose","5012","Noun","鼻"
"ōhi","おうひ","queen consort","5013","Unknown","王妃"
"beruto","ベルト","A belt (clothing)","5014","Noun","ベルト"
"Tsukuba","つくば","A place name which is often found in Ibaraki Prefecture, such as with the city of Tsukuba.","5015","Unknown","筑波"
"sarasu","さらす","expose to the elements or to the public, weather","5016","Verb","晒す"
"nōsu","ノース","north","5017","Unknown","ノース"
"naritatsu","なりたつ","consist of; be composed of","5018","Unknown","成り立つ"
"Makedonia","マケドニア","Macedonia","5019","Proper noun","マケドニア"
"Madorīdo","マドリード","Madrid (in Spanish-speaking countries)","5020","Proper noun","マドリード"
"Error","","","5021","",""
"Error","","","5022","",""
"musubitsuku","むすびつく","(literally) be joined together","5023","Unknown","結び付く"
"kaikan","かいかん","the opening of a library, museum, or hall on a given day","5024","Unknown","開館"
"puran","プラン","plan, a set of intended actions","5025","Noun","プラン"
"ōtsu","おおつ","a large port or harbor","5026","Noun","大津"
"gakushi","がくし","a bachelor (person who has achieved bachelor's degree)","5027","Noun","学士"
"iesu","イエス","yes (that is so)","5028","Interjection","イエス"
"yokoku","よこく","advance notice","5029","Noun","予告"
"Error","","","5030","",""
"shūto","シュート","chute","5031","Noun","シュート"
"banku","バンク","bank, a financial institution","5032","Noun","バンク"
"Error","","","5033","",""
"Irinoi","イリノイ","Illinois","5034","Proper noun","イリノイ"
"kōka","こうか","a course in engineering","5035","Unknown","工科"
"umu","うむ","Alternative spelling of 生む (“to give birth; to bear”)","5036","Unknown","産む"
"kōshi","こうし","the use of power or authority","5037","Unknown","行使"
"hodoku","ほどく","untie; unravel; undo (a fastening); unwrap","5038","Unknown","解く"
"Āsā","アーサー","Arthur","5039","Unknown","アーサー"
"Error","","","5040","",""
"nozomu","のぞむ","physically face, look out upon","5041","Unknown","臨む"
"utsusu","うつす","to copy","5042","Unknown","写す"
"barē","バレー","Clipping of バレーボール (“volleyball”).","5043","Noun","バレー"
"komakai","こまかい","fine, detailed, small","5044","Unknown","細かい"
"kabuki","かぶき","(culture, art) kabuki","5045","Noun","歌舞伎"
"dōtai","どうたい","trunk, torso, body","5046","Noun","胴体"
"kasa","かさ","This term needs a translation to English. Please help out and add a translation, then remove the text {{rfdef}}.","5047","Noun","笠"
"unagasu","うながす","urge, stimulate, incite","5048","Unknown","促す"
"chansu","チャンス","chance (an opportunity)","5049","Noun","チャンス"
"ikki","いっき","a single attempt, one go, one stretch","5050","Unknown","一気"
"shisen","しせん","branch line of a railway line","5051","Unknown","支線"
"kamoku","かもく","subject (at school); course","5052","Unknown","科目"
"shōnen","しょうねん","the number of years since one was born; age","5053","Noun","生年"
"toru","とる","Alternative form of 取る","5054","Unknown","執る"
"kakunō","かくのう","containment (of nuclear materials)","5055","Noun","格納"
"kasō","かそう","imagination","5056","Unknown","仮想"
"karamu","からむ","become entangled with","5057","Unknown","絡む"
"misuterī","ミステリー","mystery (something secret or unexplainable)","5058","Noun","ミステリー"
"chūgakusei","ちゅうがくせい","middle school student","5059","Unknown","中学生"
"kondo","こんど","now, this time","5060","Unknown","今度"
"Ogasawara","おがさわら","A surname​.","5061","Unknown","小笠原"
"noseru","のせる","load, carry","5062","Unknown","載せる"
"pinku","ピンク","pink, the colour","5063","Noun","ピンク"
"shikibetsu","しきべつ","discrimination, identification, discernment, distinction","5064","Noun","識別"
"Ryō","りょう","A male given name","5065","Proper noun","亮"
"Error","","","5066","",""
"damēji","ダメージ","damage","5067","Unknown","ダメージ"
"tekisuto","テキスト","text, a written passage or work","5068","Noun","テキスト"
"gaiken","がいけん","outward appearance","5069","Noun","外見"
"kaitō","かいとう","reply, response, answer","5070","Noun","回答"
"kōhō","こうほう","public relations, publicity","5071","Unknown","広報"
"hassuru","はっする","emit, give off, beam","5072","Unknown","発する"
"ban","バン","van (a (covered) vehicle used for carrying goods)","5073","Noun","バン"
"tsutsu","つつ","tube","5074","Noun","筒"
"kujira","くじら","a whale (large sea mammal)","5075","Noun","鯨"
"Furantsu","フランツ","Franz, a German given name and surname","5076","Unknown","フランツ"
"jiki","じき","(physics) magnetism","5077","Unknown","磁気"
"sankaku","さんかく","(geometry) triangle","5078","Noun","三角"
"keidai","けいだい","premises, grounds, especially of a temple or shrine","5079","Unknown","境内"
"tachibana","たちばな","Citrus tachibana, a species of wild, green, inedible citrus fruit native to Japan","5080","Noun","橘"
"yami","やみ","the dark, darkness","5081","Noun","闇"
"shisha","ししゃ","branch office","5082","Unknown","支社"
"chenji","チェンジ","A change.","5083","Noun","チェンジ"
"etsuran","えつらん","reading newspaper or other publication","5084","Unknown","閲覧"
"hifu","ひふ","(anatomy) the skin","5085","Noun","皮膚"
"tsuzuru","つづる","write","5086","Unknown","綴る"
"jissen","じっせん","actual combat","5087","Unknown","実戦"
"ugokasu","うごかす","to move (shift an object)","5088","Unknown","動かす"
"igakubu","いがくぶ","medical department","5089","Unknown","医学部"
"Hasegawa","はせがわ","A surname​.","5090","Unknown","長谷川"
"shōrei","しょうれい","encouragement, incentive","5091","Unknown","奨励"
"ryōchi","りょうち","territory","5092","Unknown","領地"
"rippō","りっぽう","legislation","5093","Noun","立法"
"kinsei","きんせい","recent times","5094","Unknown","近世"
"daikō","だいこう","the act of standing in for someone","5095","Unknown","代行"
"tsutsumu","つつむ","to wrap","5096","Verb","包む"
"resuringu","レスリング","wrestling","5097","Noun","レスリング"
"Error","","","5098","",""
"shotoku","しょとく","income","5099","Unknown","所得"
"na","な","greens","5100","Noun","菜"
"tsūshō","つうしょう","foreign commerce, trade","5101","Noun","通商"
"pianisuto","ピアニスト","pianist","5102","Noun","ピアニスト"
"kībōdo","キーボード","(computing) keyboard","5103","Noun","キーボード"
"eibun","えいぶん","a sentence in English","5104","Unknown","英文"
"gūzen","ぐうぜん","contingent, casual, accidental, incidental","5105","Unknown","偶然"
"chippu","チップ","a tip; a gratuity","5106","Noun","チップ"
"kashō","かしょう","singing","5107","Unknown","歌唱"
"fude","ふで","a writing brush, a painting brush, a pen","5108","Noun","筆"
"sakutei","さくてい","decision","5109","Unknown","策定"
"Error","","","5110","",""
"Shigeru","しげる","A male given name","5111","Proper noun","繁"
"tokui","とくい","unique","5112","Adjectival noun","特異"
"sōgū","そうぐう","an encounter, often an undesirable one","5113","Noun","遭遇"
"matagaru","またがる","straddle","5114","Verb","跨がる"
"katameru","かためる","harden","5115","Verb","固める"
"Shinagawa","しながわ","Shinagawa (a special ward of Tokyo, Japan)","5116","Unknown","品川"
"anka","あんか","inexpensive (with high quality)","5117","Unknown","安価"
"Suwa","すわ","a place name, such as that of Suwa City in Nagano Prefecture","5118","Unknown","諏訪"
"kyokutan","きょくたん","extreme","5119","Unknown","極端"
"kashi","かし","sweet, confection","5120","Noun","菓子"
"gishiki","ぎしき","ritual; ceremony","5121","Noun","儀式"
"sukoa","スコア","score (tally of points)","5122","Unknown","スコア"
"hōtei","ほうてい","A court; a court of law.","5123","Unknown","法廷"
"rōzu","ローズ","rose","5124","Unknown","ローズ"
"tenki","てんき","weather","5125","Noun","天気"
"kyōdo","きょうど","strength","5126","Unknown","強度"
"yūro","ユーロ","(numismatics) euro","5127","Unknown","ユーロ"
"akumade","あくまで","to the end, to the last, persistently","5128","Adverb","あくまで"
"fujō","ふじょう","surfacing, rising to the surface","5129","Unknown","浮上"
"ban","ばん","evening","5130","Noun","晩"
"botai","ぼたい","mother's body","5131","Unknown","母体"
"kamu","かむ","bite","5132","Verb","噛む"
"rinshō","りんしょう","clinical","5133","Unknown","臨床"
"miryoku","みりょく","allure, charm, glamour","5134","Noun","魅力"
"jōjutsu","じょうじゅつ","the above-mentioned","5135","Unknown","上述"
"Error","","","5136","",""
"charenji","チャレンジ","an attempt; an endeavor; striving","5137","Noun","チャレンジ"
"gurēto","グレート","great","5138","Unknown","グレート"
"aidea","アイデア","idea, invention","5139","Noun","アイデア"
"nesshin","ねっしん","earnest, enthusiastic","5140","Adjectival noun","熱心"
"hitoshii","ひとしい","equal","5141","Adjective","等しい"
"Īda","いいだ","a place name, such as that of Īda City in Nagano Prefecture","5142","Unknown","飯田"
"ikki","いっき","revolt, uprising, riot (often referring to a peasant uprising in historical contexts)","5143","Unknown","一揆"
"kyōgō","きょうごう","veteran, powerful player","5144","Unknown","強豪"
"satō","さとう","sugar","5145","Noun","砂糖"
"kiri","きり","the paulownia tree, Paulownia tomentosa","5146","Noun","桐"
"Karurosu","カルロス","A male given name","5147","Proper noun","カルロス"
"sōsu","ソース","sauce (liquid condiment)","5148","Unknown","ソース"
"chōeki","ちょうえき","time in prison, prison sentence, penal servitude","5149","Unknown","懲役"
"Error","","","5150","",""
"shōshū","しょうしゅう","convene a group","5151","Unknown","招集"
"budō","ぶどう","grape","5152","Noun","葡萄"
"orenji","オレンジ","orange (Citrus sinensis). See 蜜柑 for mandarin orange (Citrus unshiu).","5153","Noun","オレンジ"
"kōbai","こうばい","slope, incline, grade, gradient, pitch, inclination","5154","Unknown","勾配"
"pīku","ピーク","peak","5155","Noun","ピーク"
"senzoku","せんぞく","exclusive","5156","Unknown","専属"
"rirē","リレー","relaying information","5157","Noun","リレー"
"shinzuru","しんずる","believe, put trust in","5158","Unknown","信ずる"
"Saitama","さいたま","Saitama","5159","Unknown","さいたま"
"Wēruzu","ウェールズ","Wales","5160","Proper noun","ウェールズ"
"bokusā","ボクサー","a boxer (participant in a boxing match)","5161","Noun","ボクサー"
"-gen","げん","reduction","5162","Suffix","減"
"tana","たな","shelf, ledge, rack, trellis","5163","Noun","棚"
"yorokobu","よろこぶ","be pleased","5164","Verb","喜ぶ"
"mukō","むこう","ineffective, invalid","5165","Unknown","無効"
"Error","","","5166","",""
"hokō","ほこう","a walk","5167","Noun","歩行"
"āru","アール","are (unit of area), 100 m2","5168","Unknown","アール"
"kenshō","けんしょう","verification","5169","Noun","検証"
"Error","","","5170","",""
"kōhī","珈琲","coffee","5171","Noun","珈琲"
"han'ei","はんえい","prosperity (usually of a country or a state)","5172","Noun","繁栄"
"ashita","あした","tomorrow","5173","Noun","明日"
"seigi","せいぎ","justice","5174","Noun","正義"
"tōsan","とうさん","corporate bankruptcy","5175","Noun","倒産"
"maboroshi","まぼろし","an illusion, a phantom, a dream, a vision","5176","Noun","幻"
"dōjō","どうじょう","dojo (place where martial arts are practiced)","5177","Noun","道場"
"Kashima","かしま","Kashima, Saga","5178","Unknown","鹿島"
"ryokushoku","りょくしょく","green","5179","Noun","緑色"
"hōrudingusu","ホールディングス","holdings, found as part of the name of a holding company","5180","Unknown","ホールディングス"
"Nankin","なんきん","Nanjing","5181","Proper noun","南京"
"mikata","みかた","aspect, viewpoint, opinion","5182","Unknown","見方"
"hādouea","ハードウエア","Alternative spelling of ハードウェア","5183","Unknown","ハードウエア"
"gādo","ガード","guard (person who or thing that protects something)","5184","Noun","ガード"
"hōmu","ほうむ","legal or judicial work","5185","Unknown","法務"
"omocha","おもちゃ","(common) toy","5186","Noun","玩具"
"dentatsu","でんたつ","transmission","5187","Noun","伝達"
"Shin","しん","A male given name","5188","Proper noun","伸"
"kyūgeki","きゅうげき","sudden, sharp, precipitous, abrupt","5189","Unknown","急激"
"rizumu","リズム","rhythm","5190","Noun","リズム"
"kikō","きこう","starting construction","5191","Unknown","起工"
"taku","たく","home","5192","Noun","宅"
"fuyō","ふよう","unnecessary","5193","Adjectival noun","不要"
"rēzā","レーザー","laser","5194","Unknown","レーザー"
"sakaeru","さかえる","prosper; thrive","5195","Unknown","栄える"
"Error","","","5196","",""
"maitsuki","まいつき","every month","5197","Unknown","毎月"
"kyōryō","きょうりょう","bridge","5198","Unknown","橋梁"
"saikuru","サイクル","cycle (frequency)","5199","Unknown","サイクル"
"sakigakeru","さきがける","to lead, to be first","5200","Unknown","先駆ける"
"taitō","たいとう","emergence","5201","Noun","台頭"
"akasu","あかす","to reveal, to disclose","5202","Unknown","明かす"
"Ōkubo","おおくぼ","A surname​.","5203","Unknown","大久保"
"suzuki","すずき","sea bass","5204","Unknown","すずき"
"gei","ゲイ","(sexuality) a gay","5205","Noun","ゲイ"
"suiro","すいろ","seaway, waterway, watercourse","5206","Unknown","水路"
"purasu","プラス","an addition","5207","Unknown","プラス"
"konchū","こんちゅう","insect","5208","Noun","昆虫"
"Error","","","5209","",""
"shiboru","しぼる","to wring, press, squeeze","5210","Verb","絞る"
"shokunin","しょくにん","worker, artisan","5211","Unknown","職人"
"kakushin","かくしん","innovation","5212","Noun","革新"
"tonaeru","となえる","assume the name of","5213","Verb","称える"
"sakufū","さくふう","literary style","5214","Unknown","作風"
"ihō","いほう","illegal","5215","Unknown","違法"
"bēsubōru","ベースボール","Synonym of 野球 (yakyū, “baseball”)","5216","Noun","ベースボール"
"ōtobai","オートバイ","a motorcycle, a moped, a scooter","5217","Noun","オートバイ"
"tsuru","つる","hang","5218","Unknown","吊る"
"Komatsu","こまつ","a place name, such as that of Komatsu City in Ishikawa Prefecture","5219","Unknown","小松"
"rettō","れっとう","(geography) archipelago, chain of islands","5220","Noun","列島"
"funka","ふんか","eruption","5221","Noun","噴火"
"namida","なみだ","tears","5222","Noun","涙"
"Urawa","うらわ","a place name, such as the former Urawa City in Saitama Prefecture","5223","Unknown","浦和"
"karasu","からす","a crow; a raven","5224","Noun","烏"
"ginō","ぎのう","A technical skill that has been gained through study or practice; a science","5225","Unknown","技能"
"hōjiru","ほうじる","to repay","5226","Unknown","報じる"
"shobō","しょぼう","study (room)","5227","Unknown","書房"
"chōrui","ちょうるい","birds, bird","5228","Unknown","鳥類"
"Hakone","はこね","Hakone, a region of Kanagawa Prefecture.","5229","Unknown","箱根"
"senshoku","せんしょく","staining, dyeing","5230","Unknown","染色"
"Error","","","5231","",""
"tōshū","とうしゅう","emulation, following in someone's footsteps","5232","Noun","踏襲"
"adobenchā","アドベンチャー","adventure (exciting endeavor)","5233","Noun","アドベンチャー"
"kōsō","こうそう","being extremely high","5234","Unknown","高層"
"budō","ぶどう","Japanese martial arts, budo","5235","Noun","武道"
"totemo","とても","very, exceedingly, awfully","5236","Adverb","とても"
"dore","どれ","which one?","5237","Pronoun","どれ"
"hanji","はんじ","(law) judge","5238","Unknown","判事"
"ryōkō","りょうこう","good, fine, satisfactory, excellent","5239","Unknown","良好"
"sasa","ささ","bamboo grass","5240","Noun","笹"
"ninshin","にんしん","pregnancy, conception","5241","Noun","妊娠"
"ano","あの","(deictically) that ... over there (far from the speaker and the addressee)","5242","Adnominal","あの"
"dōryō","どうりょう","colleague, coworker who works at the same working place, especially same rank of title","5243","Noun","同僚"
"yūi","ゆうい","superior","5244","Unknown","優位"
"koya","こや","cottage, hut, cabin, shed","5245","Noun","小屋"
"Owari","おわり","Owari, an old province of Japan","5246","Unknown","尾張"
"midori","みどり","green, the colour green; greenery, fresh verdure","5247","Unknown","みどり"
"kakudo","かくど","angle (geometrical figure)","5248","Noun","角度"
"kotaeru","こたえる","answer, respond to a call, request","5249","Unknown","応える"
"Itō","いとう","a place name, such as that of Itō City in Shizuoka Prefecture","5250","Unknown","伊東"
"hokaku","ほかく","capture","5251","Unknown","捕獲"
"obujekuto","オブジェクト","(programming) object, in object-oriented programming","5252","Unknown","オブジェクト"
"kōgyō","こうぎょう","the promotion of industry","5253","Unknown","興業"
"banchi","ばんち","house number, a division of a town used in rural addresses","5254","Unknown","番地"
"senshin","せんしん","being advanced","5255","Unknown","先進"
"Mirā","ミラー","Miller","5256","Unknown","ミラー"
"Matsuda","まつだ","A surname​.","5257","Unknown","松田"
"tsunami","つなみ","(oceanography) a tsunami; a tidal wave[5]","5258","Noun","津波"
"koshi","こし","waist, the (lower) back, the small of the back","5259","Noun","腰"
"haiki","はいき","disposal","5260","Noun","廃棄"
"Error","","","5261","",""
"shuchō","しゅちょう","chief (leader of group etc)","5262","Unknown","首長"
"shibō","しぼう","fat, grease","5263","Noun","脂肪"
"yōsui","ようすい","city water; water provided for drinking, irrigation, firefighting, and other purposes","5264","Unknown","用水"
"shōgatsu","しょうがつ","January","5265","Noun","正月"
"hasshō","はっしょう","outbreak of illness","5266","Unknown","発症"
"Satoru","さとる","A male given name","5267","Proper noun","覚"
"Hokkai","ほっかい","North Sea","5268","Unknown","北海"
"Buraian","ブライアン","Brian","5269","Unknown","ブライアン"
"kaku","かく","chip, break off a part","5270","Verb","欠く"
"getsuyōbi","げつようび","Monday","5271","Noun","月曜日"
"keikoku","けいこく","ravine, gorge, valley","5272","Unknown","渓谷"
"chishitsu","ちしつ","geological features","5273","Unknown","地質"
"tan'itsu","たんいつ","independent, single","5274","Adjectival noun","単一"
"horobosu","ほろぼす","ruin, destroy","5275","Verb","滅ぼす"
"shōsan","しょうさん","Alternative form of 賞賛","5276","Unknown","称賛"
"īsuto","イースト","east","5277","Unknown","イースト"
"tsuiraku","ついらく","crashing, falling","5278","Noun","墜落"
"shōgakusei","しょうがくせい","schoolchildren, schoolboy, schoolgirl (specifically those who attend elementary school)","5279","Noun","小学生"
"mimau","みまう","visit to ask after someone's health","5280","Unknown","見舞う"
"yoshimi","よしみ","cordial relationship, friendship","5281","Noun","誼み"
"arugorizumu","アルゴリズム","an algorithm (well-defined procedure)","5282","Noun","アルゴリズム"
"pēsu","ペース","pace","5283","Unknown","ペース"
"akaji","あかじ","(business) red ink, deficit, in the red","5284","Unknown","赤字"
"gun'yō","ぐんよう","for military use","5285","Unknown","軍用"
"Teneshī","テネシー","Tennessee","5286","Unknown","テネシー"
"mojūru","モジュール","module","5287","Unknown","モジュール"
"kaki","かき","(season) summer","5288","Unknown","夏季"
"tanjōbi","たんじょうび","birthday (anniversary of the day that one was born)","5289","Noun","誕生日"
"Error","","","5290","",""
"yōritsu","ようりつ","fielding, recruiting a candidate","5291","Unknown","擁立"
"kossetsu","こっせつ","fracture (in bone)","5292","Noun","骨折"
"morau","もらう","to receive","5293","Unknown","貰う"
"men","めん","cotton (both the fiber and the cloth)","5294","Noun","綿"
"hatamoto","はたもと","retainer of a shogun","5295","Noun","旗本"
"kessen","けっせん","a final battle, a showdown","5296","Unknown","決戦"
"-mon","もん","questions, problems","5297","Counter","問"
"shokubai","しょくばい","catalyst","5298","Unknown","触媒"
"tenjō","てんじょう","ceiling","5299","Unknown","天井"
"jōsei","じょうせい","state of things, situation","5300","Noun","情勢"
"jin'ei","じんえい","military camp","5301","Unknown","陣営"
"kyasuto","キャスト","cast of a movie or theatrical performance","5302","Noun","キャスト"
"raihai","らいはい","divine worship, religious service","5303","Unknown","礼拝"
"rū","ルー","roux, especially curry roux used to make Japanese curry","5304","Unknown","ルー"
"zenshin","ぜんしん","the whole body, head to toe","5305","Unknown","全身"
"shunjitsu","しゅんじつ","a day in spring","5306","Noun","春日"
"joban","じょばん","(board games) The opening.","5307","Unknown","序盤"
"yatsu","やつ","(colloquial, impolite) fellow, chap, guy","5308","Noun","奴"
"kōban","こうばん","(baseball) leaving the mound","5309","Unknown","降板"
"yūkō","ゆうこう","friendship, amity","5310","Noun","友好"
"seimu","せいむ","government affairs; affairs of state","5311","Unknown","政務"
"Chiyoda","ちよだ","Chiyoda (one of twenty-three special wards in Tokyo)","5312","Unknown","千代田"
"shihei","しへい","paper money","5313","Noun","紙幣"
"doragon","ドラゴン","a dragon (mythical creature)","5314","Noun","ドラゴン"
"keisha","けいしゃ","a slant, slope, inclination","5315","Unknown","傾斜"
"rakuen","らくえん","pleasure garden, paradise","5316","Unknown","楽園"
"shiseki","しせき","historic site","5317","Noun","史跡"
"rimeiku","リメイク","a remake","5318","Noun","リメイク"
"Danieru","ダニエル","(biblical) Daniel","5319","Unknown","ダニエル"
"Error","","","5320","",""
"ryūshutsu","りゅうしゅつ","discharge, outflow, effluent","5321","Unknown","流出"
"hai","はい","ash","5322","Noun","灰"
"tadai","ただい","serious, immense, great","5323","Unknown","多大"
"iwaku","いわく","what a person or source says","5324","Unknown","曰く"
"Rinkān","リンカーン","Lincoln","5325","Proper noun","リンカーン"
"shahon","しゃほん","manuscript, codex","5326","Unknown","写本"
"denryū","でんりゅう","electric current","5327","Noun","電流"
"taizan","たいざん","great mountain","5328","Unknown","大山"
"sōchō","そうちょう","early morning","5329","Unknown","早朝"
"kokyū","こきゅう","a breath","5330","Unknown","呼吸"
"kōteki","こうてき","public, of a public trust, official","5331","Unknown","公的"
"taru","たる","barrel","5332","Noun","樽"
"sōsaku","そうさく","search (rescue of a missing person etc.)","5333","Unknown","捜索"
"kane","かね","bell","5334","Noun","鐘"
"Error","","","5335","",""
"Error","","","5336","",""
"shunkan","しゅんかん","instant (period of time), the moment that something happens","5337","Unknown","瞬間"
"pitto","ピット","pit (area at a motor racetrack used for refueling and repairing the vehicles during a race)","5338","Unknown","ピット"
"kanji","かんじ","a manager or organizer of a party or official meeting","5339","Unknown","幹事"
"minzoku","みんぞく","folklore; folkway; folk custom","5340","Noun","民俗"
"noboru","のぼる","to ascend, to climb, to go up","5341","Unknown","登る"
"uyoku","うよく","(politics) right wing","5342","Noun","右翼"
"wakai","わかい","reconciliation","5343","Noun","和解"
"Satoru","さとる","A male given name","5344","Proper noun","悟"
"taisō","たいそう","gymnastics, exercises","5345","Noun","体操"
"toriwake","とりわけ","particularly, especially, most of all","5346","Unknown","とりわけ"
"Marēshia","マレーシア","Malaysia","5347","Proper noun","マレーシア"
"sukēru","スケール","(music) scale (series of notes)","5348","Noun","スケール"
"aku","あく","Alternative form of 開く","5349","Unknown","明く"
